City,Latitude,Longitude
Des Moines,41.5910323,-93.6046655
Shenzhen,22.5445741,114.0545429
Cupertino,37.3228934,-122.0322895
Harare,-17.831773,31.045686
Plano,33.0136764,-96.6925096
St. Thomas,49.4972,3.82019
Morelia,19.7027116,-101.1923818
Veghel,51.6134636,5.5446455
Memphis,35.1335022,-89.9668758
Daytona Beach,29.2108147,-81.0228331
Hanover,52.3744779,9.7385532
Tavernier,25.022163,-80.513609
San Rafael,37.9735346,-122.5310874
Burlingame,37.5780965,-122.3473099
Glendale,34.1469416,-118.2478471
Flagstaff,35.1987522,-111.6518229
Panama City Beach,30.1765914,-85.805386
Gilroy,37.0065078,-121.5631723
Killeen,31.1171441,-97.727796
Kilgore,32.3860733,-94.8758518
Cottonwood,44.019068,-95.1658845
Winter Park,28.5977707,-81.3510264
Woburn,42.4792618,-71.1522766
Berlin,52.5170365,13.3888599
Marquette,46.4481521,-87.6305899
Buffalo,42.8867166,-78.8783922
Sunnyvale,37.3688301,-122.036349
Marco Island,25.9363356,-81.7156832
Turlock,37.4946568,-120.8465941
Sarasota,27.3365805,-82.5308545
Snowmass Village,39.2130418,-106.9378207
Bangor,44.8011821,-68.7778138
Camerino,43.1357641,13.0683092
Athens,37.9839412,23.7283052
Mason City,43.1524574,-93.2017941
Miamisburg,39.6428362,-84.2866083
Matamoras,39.519673499999996,-81.06873959710815
Starkville,33.4503998,-88.8183872
Caguas,18.2345399,-66.0351316
Cheltenham,51.8995685,-2.0711559
Falls Church,38.882334,-77.1710914
Altamonte Springs,28.6649055,-81.37626861372098
Palermo,38.1112268,13.3524434
Seatac,47.4449086,-122.283084
Globe,51.5081048,-0.09719676722482405
Den Haag,52.0799838,4.3113461
Portland,45.5202471,-122.6741949
"Oahu, Kapolei",21.35835565,-158.0511372926451
Schiller Park,41.9558637,-87.8708965
Santo Domingo,18.4801972,-69.942111
Harbor Springs,45.431676,-84.991999
Fort Mill,35.0073697,-80.9450759
Guanacaste,10.378844050000001,-85.43382874573226
Chesapeake,36.7183708,-76.2466798
Leon,42.63414505,-5.971415104539984
Covington,39.0836224,-84.508371
Guin,33.9675458,-87.9138911
Santa Catarina,-27.0628367,-51.114965
Beuningen,51.8586611,5.767357
Park City,40.6460921,-111.4979963
Virginia Beach,36.8529841,-75.9774183
Key West,24.5625566,-81.7724368
Rottach-Egern,47.6909599,11.7707109
Musanze,-1.4741392,29.568173968338307
Nuevo Vallarta,20.7027575,-105.2885106
North Vancouver,49.3206294,-123.0737925
Grandville,48.5956451,4.2319159
Zapopan Jal.,20.7211203,-103.3913671
Mahe,11.7021978,75.5364701
Greenbelt,38.9933654,-76.88333238304114
Clark,39.3260541,-87.7838526
Las Cruces,32.3140354,-106.7798078
Olathe,38.8838856,-94.81887
Hollywood,34.0980031,-118.329523
Iowa City,41.6612561,-91.5299106
Santa Fe,-30.3154739,-61.1645076
Minnetonka,44.9405086,-93.4638936
Sunrise,26.147190199999997,-80.32966128894083
Dubai,25.2653471,55.2924914
Pagosa Springs,37.2695661,-107.0108163
Hammond,41.5833658,-87.500043
Ridgecrest,35.6225064,-117.6699414
Atlantic Beach,40.5886547,-73.7288791
Kiev,50.4500336,30.5241361
Bordentown,40.1462213,-74.7118264
Lodi,45.2613104,9.491678060021837
West Yellowstone,44.6632505,-111.101169
Paso Robles,35.6267654,-120.6912456
Merced,37.1641544,-120.7678602
Glasgow,55.8609825,-4.2488787
Hefei,31.8228094,117.2218033
Twentynine Palms,34.1356915,-116.0543506
Long Beach,33.7690164,-118.191604
Richmond,37.5385087,-77.43428
Louisville,38.2542376,-85.759407
Port St. Lucie,27.2939333,-80.3503283
Lebanon,33.8750629,35.843409
Nassau,25.0783456,-77.3383331
Framingham,42.3095704,-71.4413097
San Antonio,29.4246002,-98.4951405
Firenze,43.7698712,11.2555757
Cologne,50.938361,6.959974
San Clemente,39.4037093,-2.4274052
Morrisville,47.88338804999999,-55.76861996265019
Plaquemine,30.2840655,-91.2370772
Hoboken,40.7433066,-74.0323752
El Portal,25.8553739,-80.193103
Richland,38.7060457,-88.0949352
Goa,15.3503192,74.10178169795284
Cascade Locks,45.669513,-121.890402
Lake Havasu City,34.4838502,-114.3224495
Kowloon,22.3116452,114.1767885
Youngstown,41.1035786,-80.6520161
Cuernavaca,18.9218274,-99.2342282
Indian Shores,27.862801,-82.8484373
Chengdu,30.6598628,104.0633717
Ibiza,38.974390099999994,1.4197463178515335
Silver Spring,38.9997621,-77.02403709829767
Johnson City,36.3134398,-82.3534728
Venice Beach,33.97996005,-118.46878181253348
Kings Canyon National Park,36.91527845,-118.60765585962608
Inglewood,33.9562003,-118.353132
Bridgeton,38.7566055,-90.42352
Branson,36.6411357,-93.2175285
Pompano Beach,26.2378597,-80.1247667
Gold Canyon,33.3710715,-111.42618498017515
Nantong,31.9827896,120.8904588
Mineola,40.7492678,-73.6406845
Chula Vista,32.6400541,-117.0841955
Ipswich,52.0579495,1.1526345
Englewood Cliffs,40.8853773,-73.9523597
Montevideo,-34.9058916,-56.1913095
Toulouse,43.6044622,1.4442469
Saint Paul,44.9497487,-93.0931028
Rutherford,40.826489,-74.1068091
Istanbul,41.0091982,28.9662187
Bryan,30.6743643,-96.3699632
"Kauai, Princeville",22.223611,-159.485278
Saint Ignace,45.8686238,-84.7278281
Calistoga,38.5787966,-122.579705
Pinetop,40.6628756,-75.3754582
Iselin,40.569334999999995,-74.31511249016258
Norwich,52.6285694,1.2923049
Indianapolis,39.7683331,-86.1583502
Colorado Springs,38.8339578,-104.825348
Klamath Falls,42.224867,-121.7816704
South Burlington,44.4669941,-73.1709604
Galt,42.6935804,-93.6053548
Los Gatos,37.226611,-121.9746797
Guangzhou,23.1301964,113.2592945
Cancun,43.8130735,125.3171216
Rawlins,39.7904797,-101.0994722
Chatillon,46.6591772,5.7302769
Lancashire,53.8611703,-2.5650887919475496
Pawleys Island,33.4293486,-79.1215912
Manitowoc,44.0886059,-87.6575841
Ocala,29.1871986,-82.1400923
Venezia,45.4371908,12.3345898
Sturgeon Bay,44.8341639,-87.377042
Borjomi,41.8386946,43.3791739
Costa Mesa,33.6636611,-117.91946518435181
Milledgeville,33.0801429,-83.2320991
Hartland,50.97595295,-4.485571469951127
Port Angeles,48.118146,-123.430741
Newton,30.8118989,-93.740504
Cardiff By The Sea,33.0220155,-117.2803463
Alahsa,14.85159,44.349569
Titusville,28.6122187,-80.8075538
Prescott,34.5399962,-112.4687616
Blackfoot,43.190039,-112.348357
"Molokai, Kaunakakai",21.080937249999998,-157.00368301805878
American Canyon,38.1749179,-122.2608044
Clearwater,27.9658533,-82.8001026
Davenport,41.5235808,-90.5770967
Fairmont,43.6521775,-94.4610832
Pocatello,42.8620287,-112.450627
Sparks,39.5404679,-119.7487235
Cusco,-13.5170887,-71.9785356
Wildsteig,47.7012483,10.9363218
Long Bay,18.1060022,-76.3189878
Gettysburg,39.8308973,-77.231012
Big Bear Lake,34.2440587,-116.91018
Lancaster,40.03813,-76.3056686
Chincoteague Island,37.9384567,-75.3615855
Duesseldorf,51.19077325,6.793516713552313
New Haven,41.3082138,-72.9250518
Wauwatosa,43.0494122,-88.0079271
Punta De Mita,20.6606771,-105.2295009
Anthem,33.857492,-112.11359410473517
Seoul,37.5666791,126.9782914
Morehead,38.1839705,-83.4326841
Lima,-12.0621065,-77.0365256
Mountain View,37.3893889,-122.0832101
Glen Allen,37.316934,-90.02781236389168
Overland Park,38.9742502,-94.6851702
Canton,23.1301964,113.2592945
Hood River,45.7087902,-121.5123728
Jacksonville Beach,30.2946859,-81.3931396
Charlottesville,38.029306,-78.4766781
"Oahu, Honolulu",21.48343645,-158.03648372697478
Clermont,49.3780921,2.4141907
Hangzhou,30.2489634,120.2052342
Casablanca,33.5950627,-7.6187768
San Jose,37.3361905,-121.890583
Wixom,42.5247729,-83.5363339
Saint George,12.0535331,-61.751805
Sonora,29.3333331,-110.6666671
Sunset Beach,54.7423237,-113.5366453
Rimini,43.9470982,12.630768610516004
Bay City,43.5944677,-83.8888648
Durham City,54.7785577,-1.5757010209442777
Secaucus,40.7899291,-74.0566735
Key Biscayne,25.6968351,-80.1635261
Texarkana,33.44667445,-94.07714830522015
Vero Beach,27.6387163,-80.3975399
Beaufort,50.2207301,3.9661418
Saint Petersburg,59.917857350000006,30.380619357025516
Lumberton,34.6183433,-79.0083993
Fresno,36.7295295,-119.70886126075588
Anaheim,33.8347516,-117.911732
Reno,39.5261206,-119.8126581
Boise,43.6166163,-116.200886
Antiqua-St. Johns,17.1184569,-61.8448509
Truckee,39.327962,-120.1832533
Chinle,36.150143400000005,-109.56706853699023
East Hartford,41.7823216,-72.6120346
Plainview,34.1847936,-101.7068417
Thornton,39.8695516,-104.985181
Kittery,43.088448,-70.736847
St. George,37.104153,-113.5841313
Paris,48.8588897,2.3200410217200766
Danbury,41.394817,-73.4540111
Indian Wells,33.7217965,-116.338303
Palm Beach Shores,26.7781183,-80.0355962
Rye,46.8712641,5.4297754
Mexico City,19.4326296,-99.1331785
Tepic,21.5043446,-104.894676
Government Camp,45.3041033,-121.7547596
Cabo San Lucas,22.8938884,-109.9200604
Randers,56.4355428,10.0425957
Hudson,40.7381635,-74.0550731
Rogers,36.3320197,-94.1185366
Rochester,43.157285,-77.615214
Tiverton,50.91733035,-3.4625507372679287
Miramar,25.9825093,-80.3234233843979
Massapequa Park,40.6803785,-73.4551241
Englewood,39.6482059,-104.9879641
Magny-le-Hongre,48.8631156,2.8135257
Saint Louis,38.6264256,-90.1995853
Gleneden Beach,44.8789911,-124.0346728
Santiago,-33.4377756,-70.6504502
Budapest,47.4979937,19.0403594
Rocky Mount,35.9423833,-77.7956949
Lafayette,30.2043259,-92.0298813
Zanesville,39.9403453,-82.0131924
Dunedin,-45.8740984,170.5035755
Kitty Hawk,36.0664318,-75.6935448
Nevis,17.1508813,-62.5852896007
Meridian,32.3643098,-88.703656
Ixtapa,16.807622700000003,-92.898650478142
Independence,39.0924792,-94.4137923
Harrow,51.596827149999996,-0.3373046180437286
Antwerp,51.2211097,4.3997081
Rock Hill,34.9248667,-81.0250784
Whistler,50.1171903,-122.9543022
St. Augustine,29.8946952,-81.3145395
Philadelphia,39.9527237,-75.1635262
Newbury,51.4020243,-1.3242212
Ensenada,31.8658887,-116.6029835
San Simeon,35.6133158,-121.1442346
Enfield,51.6520851,-0.0810175
Taos,36.4072377,-105.573284
Flushing,51.49433865,3.415005767601362
Stockton,37.9577016,-121.2907796
Male,4.1779879,73.5107387
Quincy,42.2509914,-71.0037374
Galveston,29.299328,-94.7945882
West Sussex,50.94458445,-0.5278477012862655
Willoughby,41.6397696,-81.4065011
Emporia,38.4040054,-96.181623
Mountain Home,43.1329504,-115.691197
O'Fallon,38.7910374,-90.7039107
Loveland,40.3977612,-105.0749801
Macon,32.8406946,-83.6324022
Grand Rapids,42.9632405,-85.6678639
Clearfield,40.800693,-94.4756885
Aurora,41.7571701,-88.3147539
Long Island City,40.7415095,-73.9569751
Dijon,47.3215806,5.0414701
Singer Island,26.7850625,-80.0375408
Charles Town,39.2891836,-77.859581
Holbrook,34.9037063,-110.159316
Allen Park,42.2595071,-83.2107671
Chihuahua,28.5000001,-106.0000001
Elko,41.1958128,-115.3272864
Monroe,38.2722313,-90.1792484
Sioux City,42.4966815,-96.4058782
Ketchum,43.680741,-114.363662
Winters,31.9565343,-99.962313
Mechelen,51.0281381,4.4803453
Castries,43.6779101,3.9868904
Sheboygan,43.7508284,-87.71453
Livonia,42.36837,-83.3527097
Oakbrook Terrace,41.8500302,-87.9645077
Mojave,35.01096025,-118.19028326663798
Baton Rouge,30.4459596,-91.18738
Lac-Beauport,46.944403,-71.296806
Cottage Grove,44.8277446,-92.9438218
Simi Valley,34.2677404,-118.7538071
Clarksville,36.5277607,-87.3588703
Silver Lake,44.9032959,-94.1955334
Delhi,28.6517178,77.2219388
Saginaw,43.4200387,-83.9490365
Adel,41.6174123,-94.0185176
Bluff,-46.6014038,168.3398682
Long Beach - NYC,40.65929255,-73.82625793943546
North Myrtle Beach,33.8278405,-78.6800323
Death Valley,30.41197725,-91.18383029663619
Monaco,43.73844905,7.424224092532953
Yuba City,39.1404477,-121.6169108
Gretna,29.9146493,-90.0539604
St  Petersburg,59.917857350000006,30.380619357025516
Monticello,42.6214159,8.96043915620514
Fernandina Beach,30.6696818,-81.4625919
Middletown,41.5623178,-72.6509061
Plantation,26.12744855,-80.25779068328761
Ardmore,34.1742611,-97.1436254
Moran,27.23650645,94.87909205082008
Cape Coral,26.6059432,-81.9806771
College Park-MD,38.99203005,-76.94610290199051
Le Roy,40.8777854,-93.592905
San Luis Potosi,22.5000001,-100.4949145
Blytheville,35.9272953,-89.9189754
Carol Stream,41.9125286,-88.1347927
Bondi Junction,-33.8930034,151.2501228
Muskogee,35.6630196,-95.3927706
Elizabethtown,37.693952,-85.8591285
Nashua,42.7656251,-71.4677032
Lake George,43.6276486,-73.54977358231127
Norfolk,52.666667,1.0
Berkeley,37.8753497,-122.23963364918777
Milan,45.4641943,9.1896346
Flint,43.0161693,-83.6900211
Mykonos,37.451434500000005,25.392337493319413
Auburn,32.6098566,-85.4807825
Falmouth,50.1552197,-5.0688262
Hollister,36.8524545,-121.4016021
D'iberville,45.5530737,-73.6021838
Virgin,37.201902,-113.1878542
Runaway Bay,33.1666284,-97.8811684
Chessington,51.358336,-0.2986216
Mostoles,40.3238525,-3.8649214
Longboat Key,27.4125417,-82.6589881
Copenhagen,55.6867243,12.5700724
Los Mochis,25.7928058,-108.990188
Fallon,47.5075937,6.4807726
Lynnwood,47.8278656,-122.3053932
King Of Prussia,40.09476245,-75.3851333563417
Woodinville,47.7545827,-122.1588902
Coalville,52.7257981,-1.3741375
Pomona,34.0553813,-117.7517496
Mannheim,49.4892913,8.4673098
Williams,48.3629861,-103.4958386
Huntington Beach,33.6783336,-118.0000166
Cucuta,45.9893785,23.2575051
Vernon Hills,42.2204892,-87.9803604
Montvale,41.0467635,-74.0229173
Smyrna,38.4224548,27.1310699
Elgin,42.03726,-88.2810994
Hill City,39.364728,-99.842065
Vernal,40.4556825,-109.5284741
Cedar Rapids,41.9758872,-91.6704053
Blackwell,32.0869699,-100.3188899
Ely,52.40187845,0.28385741947417514
Rock Island,41.4411786,-90.5766144
Lawrenceburg,38.0371378,-84.8962551
Leeds,53.7974185,-1.5437941
Sacramento,38.5810606,-121.493895
Valdosta,30.8327022,-83.2784851
Cody,44.5263107,-109.056392
West Fargo,46.874967,-96.900362
Islamorada,24.9242995,-80.6278404
Boynton Beach,26.5256179,-80.0666026
Ridgeland,32.4284761,-90.1323087
Hannover,52.3744779,9.7385532
Big Sur,36.270241,-121.807454
Raleigh,35.7803977,-78.6390989
Sterling,31.8151416,-101.0452671
Oglesby,31.4185003,-97.5072379
Mount Laurel,39.934002,-74.8909988
Maui Wailea,20.6871749,-156.4390415
Reading,51.456659,-0.9696512
Poza Rica,20.5320852,-97.4536355
Quito,-0.2201641,-78.5123274
Uniondale,40.7159385,-73.59384782542784
Rock Springs,41.5860557,-109.2194544
Botafogo,-22.94886035,-43.18011371065211
Owensboro,37.7742152,-87.1133304
Gaithersburg,39.1399187,-77.1929215
Southern Pines,35.1740471,-79.3922539
Eufaula,31.8912717,-85.1454876
"Kauai, Koloa",21.9042279,-159.465733
Tarrytown,41.0762077,-73.8587461
Houston,29.7589382,-95.3676974
Ashburn,39.030019100000004,-77.46964646557657
Indio,33.743764999999996,-116.22331524966393
Mariposa,37.570148,-119.9036592
Aguascalientes,22.0000001,-102.5000001
Metairie,30.00185465,-90.1767012249077
Dhaka,23.7644025,90.389015
Cambridge- MD,38.5714624,-76.0763177
Vail,39.6440207,-106.3801669
Heerenberg,47.6922567,8.653900997190682
Yountville,38.4022008,-122.359506
La Mesa,32.7678288,-117.0230839
Crawley,51.1103444,-0.1801094
Northbrook,42.128704,-87.8265089
Anjou,45.3462,4.88149
Groveland,28.5602149,-81.8561226
Imperial Beach,32.5839444,-117.1130849
Boston,42.3602534,-71.0582912
Nogales,38.5865813,-6.7491704
Sussex,41.133372,-74.6930393
Providence,41.8239891,-71.4128343
Downey,33.9404441,-118.1292846
Mont-Tremblant,46.11588,-74.5891426
Staunton,38.1495947,-79.072557
Newburgh,41.5034271,-74.0104179
Jackson Hole,60.896124,-147.2135823
Santa Barbara,34.4221319,-119.7026673
Mackinaw City,45.783901,-84.727828
Waco,31.549333,-97.1466695
Delray Beach,26.4614625,-80.0728201
Dinuba,36.5432837,-119.3870656
Pullman,46.7304268,-117.173895
Guildford,51.2356068,-0.5732063
Jacksonville,30.3321838,-81.655651
Dodge City,37.7527982,-100.0170787
Ladson,32.9857275,-80.1098123
Lake Oswego,45.4206749,-122.670649
Mount Kisco,41.2042616,-73.7270761
Mallorca,39.613432,2.880353635614984
Melbourne,-37.8142176,144.9631608
Revere,42.4084302,-71.0119948
Queretaro,20.5927744,-100.3902245
Lake Louise,51.4249668,-116.177535
Healdsburg,38.5904785,-122.86502953263708
North Adams,42.6990321,-73.1118964
Sharm El Sheikh,27.8644422,34.295447
Boca Raton,26.3586885,-80.0830984
Oakhurst,40.2613085,-74.02665522857244
Sutton,30.51216325,-100.53841807826248
Mooresville,35.5848596,-80.8100724
Franklin,33.2002659,-95.2231752
Oakland,37.8044557,-122.2713563
Ellensburg,46.9970635,-120.545122
Horse Cave,37.179496,-85.9069175
Toms River,39.9537359,-74.1979576
Isla Verde,0.9588052,-79.64337952822132
Martinsburg,39.4562528,-77.9639604
Yakima,46.601557,-120.510842
Scranton,41.4086874,-75.6621294
San Mateo,37.496904,-122.3330573
Newark,40.735657,-74.1723667
Madrid,40.4167047,-3.7035825
Sedona,34.8679599,-111.7617165
La Palma,28.6552318,-17.85732234254766
Singapore,1.357107,103.8194992
Great Falls,47.5048851,-111.29189
Spokane,47.6571934,-117.4235106
New London,41.3556187,-72.0997804
Cartagena,37.6019353,-0.9841152
Chantilly,49.1799586,2.47578765999255
Dalian,38.9181714,121.6282945
Corpus Christi,27.7951482,-97.3942053
Joliet,41.5263603,-88.0840212
Tulare,36.2516475,-118.852583
Elkins,38.925927,-79.8466552
Artesia,33.8690197,-118.0796195
Tinley Park,41.5733669,-87.7844944
Bonners Ferry,48.6912781,-116.31614
Glattbrugg,47.4326312,8.5647892
Grand Canyon,36.0965604,-112.0984941
Bismarck,46.808327,-100.783739
Tysons,38.916509000000005,-77.2257977704366
Alamosa,37.5780995,-105.7890452
Manhattan,40.7896239,-73.9598939
Grand Cayman,19.3298691,-81.17122907994889
West Haven,41.2706527,-72.9470471
Portage,42.2011538,-85.5800022
Apodaca Nuevo Leon,25.7430212,-100.1710854
West Chester,39.9597213,-75.6059638
Fort Wayne,41.0799898,-85.1386015
Walla Walla,46.0667277,-118.3393456
Riverside,33.9459413,-117.41024442439222
Paragould,36.0584021,-90.4973286
Ventura,34.4458248,-119.0779359
"Kauai, Kapaa",22.0833399,-159.34635231502904
La Quinta,33.677474,-116.2958789
Jensen Beach,27.22089615,-80.25567726584178
Natchitoches,31.7606732,-93.0860209
Kulpsville,40.2428828,-75.3365644
Cerritos,33.8644291,-118.0539323
Tokyo,35.6828387,139.7594549
Puebla,18.833333,-98.0
Houma,29.5957696,-90.7195348
Hellerup,55.7336657,12.5655408
Comanche,31.9130171,-98.527388
Manila,14.5948914,120.9782618
Missoula,46.8701049,-113.995267
Gatlinburg,35.714259,-83.5101638
Surry,37.1381363,-76.834945
Annawan,41.3972573,-89.9045518
Saint Martin,18.085493,-63.05129209796061
Swansea,51.6195955,-3.9459248
Littlefield,33.9189172,-102.332836
Beverly Hills,34.0696501,-118.3963062
Southgate,51.6281547,-0.123596
Navarre,42.61254875,-1.830787673361753
Red Deer,52.2697395,-113.8181766
Jamaica,18.1850507,-77.3947693
Dorado,18.4593799,-66.2615332
Frankfort,50.1106444,8.6820917
Red Bluff,40.1784279,-122.235923
Tracy,37.7385507,-121.4201395
Round Rock,30.5085915,-97.6788056
Horsham,51.0630273,-0.3295028
Bimini,25.70318795,-79.28145926583792
Puyallup,47.1849009,-122.29214
Astoria,46.187885,-123.831256
Bradford,53.7944229,-1.7519186
Mascot,-33.9289562,151.1951782
Escondido,33.1216751,-117.0814849
Germantown,38.5536601,-89.5384209
"Lanai, Lanai City",20.7415735,-156.896421
"Maui, Hana",20.7671042,-155.990751995403
Soller,39.7663047,2.7150538
Wichita Falls,33.9137085,-98.4933873
Plainsboro,40.3334409,-74.6004341
Fort Smith,35.3784666,-94.3996456
Kalamazoo,42.291707,-85.5872286
Yonkers,40.9312099,-73.8987469
Bergamo,45.756655699999996,9.754219200862249
White House,38.897699700000004,-77.03655315
Shawnee,39.0273676,-95.7627535
Starke,29.9443549,-82.1101114
Lanham,38.965365000000006,-76.84179265424164
Wilkes Barre,41.2464824,-75.8817316
Whitefish,48.450293,-114.33828531635987
Bozeman,45.6794293,-111.044047
Bandung,-6.9344694,107.6049539
Cranbury,40.3099385,-74.51772241230152
Cherryhill,54.5753736,-5.9420428
Alamogordo,32.9046474,-105.941835
West Dennis,41.6645557,-70.1727967
Opelika,32.6454116,-85.3782795
Mobile,30.6943566,-88.0430541
Tbilisi,41.6934591,44.8014495
Durango,24.833333,-104.833333
Austell,33.8126059,-84.6343783
Ormond Beach,29.2854132,-81.0557921
Suffern,41.1151372,-74.1493948
Arroyo Grande,35.1185869,-120.590725
Marietta,33.9528472,-84.5496148
Mount Carmel,38.4108801,-87.7614174
Henderson,32.182598,-95.7893178
Leesburg,28.810823,-81.8778582
Oak Ridge,36.0103562,-84.2696449
Trincity,10.6343224,-61.3567735
Albemarle,35.3501426,-80.2000578
Roswell,34.02332,-84.360022
Chambersburg,39.9405903,-77.6598624
Utica,43.1009031,-75.2326641
Canyon Point,47.228275,-113.0197739
Preston,53.7593363,-2.6992717
Newport-OR,44.636755,-124.053442
Winchester,51.0612766,-1.3131692
Twickenham,51.4467444,-0.3281887
Tampico,22.2329889,-97.8614802
Kelso,46.1421249,-122.905299
Lithia Springs,33.7939953,-84.6604899
Kiawah Island,32.6082373,-80.0848166
Palmdale,34.5793131,-118.1171108
Los Angeles,34.0536909,-118.242766
Arcadia,34.1362075,-118.0401497
Hillsboro,45.5228939,-122.989827
Columbia,4.099917,-72.9088133
Mexicali,32.6248622,-115.448325
Georgetown,6.8137426,-58.1624465
Harrisburg,40.2663107,-76.8861122
"Big Island, Hilo",19.72404,-155.0857483
